minute_id,reference_type_a,document_type_a,text_a,sentence_a,identifier_a,reference_type_b,document_type_b,text_b,sentence_b,identifier_b
h-tk-20012002-4369-4373,impl-local,,dit wetsvoorstel,"Voorzitter. Voorzover wij kunnen nagaan, was al het vorige jaar bekend dat resultaten van het onderzoek waarop mevrouw Hermann doelt, pas in juli 2002 beschikbaar zouden komen. Dat is nooit een reden geweest om dit wetsvoorstel niet te behandelen. Wij zouden er dan ook niet vóór zijn om nu ineens tot uitstel over te gaan.",27659,impl-local,,dit wetsvoorstel,"Voorzitter. Voorzover wij kunnen nagaan, was al het vorige jaar bekend dat resultaten van het onderzoek waarop mevrouw Hermann doelt, pas in juli 2002 beschikbaar zouden komen. Dat is nooit een reden geweest om dit wetsvoorstel niet te behandelen. Wij zouden er dan ook niet vóór zijn om nu ineens tot uitstel over te gaan.",27659
h-tk-20012002-4369-4373,impl-local,,dit wetsvoorstel,"Ik kan dit nu bevestigen noch ontkennen, maar dit wetsvoorstel staat al heel lang op de agenda. In de commissie hebben wij het ook bestempeld als gereed voor plenaire behandeling. Ik zie geen redenen om op het laatste moment weer van die behandeling af te zien.",27659,impl-local,,dit wetsvoorstel,"Ik kan dit nu bevestigen noch ontkennen, maar dit wetsvoorstel staat al heel lang op de agenda. In de commissie hebben wij het ook bestempeld als gereed voor plenaire behandeling. Ik zie geen redenen om op het laatste moment weer van die behandeling af te zien.",27659
h-tk-20012002-4369-4373,impl-local,,dit wetsvoorstel,"Voorzitter. Inderdaad is in de commissie uitvoerig over dit wetsvoorstel gesproken. Zelf heb ik de indruk dat het door mevrouw Hermann gevraagde niet absoluut nodig is om tot plenaire behandeling over te gaan. Ik zal mij niet tegen inwilliging van haar verzoek verzetten, maar wat ons betreft zou dit wetsvoorstel zonder meer op de agenda voor de plenaire vergadering kunnen worden geplaatst.",27659,impl-local,,dit wetsvoorstel,"Voorzitter. Inderdaad is in de commissie uitvoerig over dit wetsvoorstel gesproken. Zelf heb ik de indruk dat het door mevrouw Hermann gevraagde niet absoluut nodig is om tot plenaire behandeling over te gaan. Ik zal mij niet tegen inwilliging van haar verzoek verzetten, maar wat ons betreft zou dit wetsvoorstel zonder meer op de agenda voor de plenaire vergadering kunnen worden geplaatst.",27659
h-tk-20012002-4369-4373,impl-local,,dit wetsvoorstel,"Voorzitter. Inderdaad is in de commissie uitvoerig over dit wetsvoorstel gesproken. Zelf heb ik de indruk dat het door mevrouw Hermann gevraagde niet absoluut nodig is om tot plenaire behandeling over te gaan. Ik zal mij niet tegen inwilliging van haar verzoek verzetten, maar wat ons betreft zou dit wetsvoorstel zonder meer op de agenda voor de plenaire vergadering kunnen worden geplaatst.",27659,impl-local,,dit wetsvoorstel,"Voorzitter. Inderdaad is in de commissie uitvoerig over dit wetsvoorstel gesproken. Zelf heb ik de indruk dat het door mevrouw Hermann gevraagde niet absoluut nodig is om tot plenaire behandeling over te gaan. Ik zal mij niet tegen inwilliging van haar verzoek verzetten, maar wat ons betreft zou dit wetsvoorstel zonder meer op de agenda voor de plenaire vergadering kunnen worden geplaatst.",27659
h-tk-20012002-4369-4373,impl-local,,het wetsvoorstel,Neen. Ik heb u uitgelegd dat u een motie niet aan het adres van de minister kunt richten. Het is de Kamer die daarover nu moet beslissen. U geeft mede namens de fracties van VVD en CDA aan dat u op bepaalde informatie wilt wachten vóór er met de plenaire behandeling van het wetsvoorstel kan worden begonnen. Op dit moment kunnen wij slechts vaststellen dat u om die informatie vraagt. Ik neem aan dat de meerderheid van de Kamer het wat dit betreft met u eens is.,27659,impl-local,,het wetsvoorstel,Neen. Ik heb u uitgelegd dat u een motie niet aan het adres van de minister kunt richten. Het is de Kamer die daarover nu moet beslissen. U geeft mede namens de fracties van VVD en CDA aan dat u op bepaalde informatie wilt wachten vóór er met de plenaire behandeling van het wetsvoorstel kan worden begonnen. Op dit moment kunnen wij slechts vaststellen dat u om die informatie vraagt. Ik neem aan dat de meerderheid van de Kamer het wat dit betreft met u eens is.,27659
h-tk-20012002-4369-4373,impl-local,,het wetsvoorstel,Voorzitter. Ik onderstreep dat deze kwestie uitvoerig aan de orde is geweest tijdens een procedurevergadering. Vervolgens werd door een meerderheid besloten om het wetsvoorstel wél te behandelen.,27659,impl-local,,het wetsvoorstel,Voorzitter. Ik onderstreep dat deze kwestie uitvoerig aan de orde is geweest tijdens een procedurevergadering. Vervolgens werd door een meerderheid besloten om het wetsvoorstel wél te behandelen.,27659
h-tk-20012002-4369-4373,impl-local,,de motie,"Voorzitter. In november 2001 heeft de Kamer een motie aanvaard waarin de regering werd gevraagd haar een notitie toe te sturen. Daarin diende de regering aan te geven op welke wijze de grondwettelijke vrijheden van godsdienst en meningsuiting beleefd kunnen worden zonder mensen vanwege hun homoseksuele geaardheid te beledigen. Daarbij moet volgens de motie de relevante jurisprudentie worden betrokken. Het is nu april en de motie is nog niet uitgevoerd. Inmiddels hebben wij wel kennisgenomen van de uitspraak van de rechter in de zaak tegen de Rotterdamse imam, waarover deze kwestie gaat. Ik verzoek de regering om uiterlijk volgende week de door de Kamer verlangde notitie aan haar toe te sturen.",28000-VI-34,impl-local,,de motie,"Voorzitter. In november 2001 heeft de Kamer een motie aanvaard waarin de regering werd gevraagd haar een notitie toe te sturen. Daarin diende de regering aan te geven op welke wijze de grondwettelijke vrijheden van godsdienst en meningsuiting beleefd kunnen worden zonder mensen vanwege hun homoseksuele geaardheid te beledigen. Daarbij moet volgens de motie de relevante jurisprudentie worden betrokken. Het is nu april en de motie is nog niet uitgevoerd. Inmiddels hebben wij wel kennisgenomen van de uitspraak van de rechter in de zaak tegen de Rotterdamse imam, waarover deze kwestie gaat. Ik verzoek de regering om uiterlijk volgende week de door de Kamer verlangde notitie aan haar toe te sturen.",28000-VI-34
h-tk-20012002-4369-4373,impl-local,,de motie,"Voorzitter. In november 2001 heeft de Kamer een motie aanvaard waarin de regering werd gevraagd haar een notitie toe te sturen. Daarin diende de regering aan te geven op welke wijze de grondwettelijke vrijheden van godsdienst en meningsuiting beleefd kunnen worden zonder mensen vanwege hun homoseksuele geaardheid te beledigen. Daarbij moet volgens de motie de relevante jurisprudentie worden betrokken. Het is nu april en de motie is nog niet uitgevoerd. Inmiddels hebben wij wel kennisgenomen van de uitspraak van de rechter in de zaak tegen de Rotterdamse imam, waarover deze kwestie gaat. Ik verzoek de regering om uiterlijk volgende week de door de Kamer verlangde notitie aan haar toe te sturen.",28000-VI-34,impl-local,,de motie,"Voorzitter. In november 2001 heeft de Kamer een motie aanvaard waarin de regering werd gevraagd haar een notitie toe te sturen. Daarin diende de regering aan te geven op welke wijze de grondwettelijke vrijheden van godsdienst en meningsuiting beleefd kunnen worden zonder mensen vanwege hun homoseksuele geaardheid te beledigen. Daarbij moet volgens de motie de relevante jurisprudentie worden betrokken. Het is nu april en de motie is nog niet uitgevoerd. Inmiddels hebben wij wel kennisgenomen van de uitspraak van de rechter in de zaak tegen de Rotterdamse imam, waarover deze kwestie gaat. Ik verzoek de regering om uiterlijk volgende week de door de Kamer verlangde notitie aan haar toe te sturen.",28000-VI-34
h-tk-20012002-4369-4373,impl-ext-third-party,,melding van het voornemen van de ministers Zalm en Hermans om bedrijven te gaan betrekken bij het wegwerken van het lokalentekort in het basisonderwijs en voortgezet onderwijs,"Voorzitter. Afgelopen zaterdag maakte NRC-Handelsblad melding van het voornemen van de ministers Zalm en Hermans om bedrijven te gaan betrekken bij het wegwerken van het lokalentekort in het basisonderwijs en voortgezet onderwijs. Mijn fractie ontvangt graag een nadere toelichting op dat voornemen. Wij ontvangen de toelichting graag voor het weekend, omdat wij aanstaande maandag de feitelijke vragen over de voorjaarsnota moeten indienen. Mijn fractie zou graag de antwoorden op onze vragen over dit voornemen bij de behandeling van de voorjaarsnota betrekken.",,impl-ext-third-party,,het voornemen van de ministers Zalm en Hermans om bedrijven te gaan betrekken bij het wegwerken van het lokalentekort in het basisonderwijs en voortgezet onderwijs,"Voorzitter. Afgelopen zaterdag maakte NRC-Handelsblad melding van het voornemen van de ministers Zalm en Hermans om bedrijven te gaan betrekken bij het wegwerken van het lokalentekort in het basisonderwijs en voortgezet onderwijs. Mijn fractie ontvangt graag een nadere toelichting op dat voornemen. Wij ontvangen de toelichting graag voor het weekend, omdat wij aanstaande maandag de feitelijke vragen over de voorjaarsnota moeten indienen. Mijn fractie zou graag de antwoorden op onze vragen over dit voornemen bij de behandeling van de voorjaarsnota betrekken.",
h-tk-20012002-4369-4373,impl-ext-dossier,,het wetsvoorstel,"Graag vanavond nog, want morgen is de behandeling van het wetsvoorstel.",28000-XIII,impl-local,,het wetsvoorstel,"Graag vanavond nog, want morgen is de behandeling van het wetsvoorstel.",28275-1
h-tk-20012002-4369-4373,impl-ext-dossier,,het wetsvoorstel,Wij hebben precies dezelfde vraag gesteld in het verslag bij het wetsvoorstel en die vraag is vorige week vrijdag beantwoord. Ik zie derhalve niet in waarom wij nog een brief zouden moeten vragen.,28000-XIII,impl-local,,het wetsvoorstel,Wij hebben precies dezelfde vraag gesteld in het verslag bij het wetsvoorstel en die vraag is vorige week vrijdag beantwoord. Ik zie derhalve niet in waarom wij nog een brief zouden moeten vragen.,28275-1
h-tk-20012002-4369-4373,impl-ext-third-party,,het rapport van de Algemene Rekenkamer in het kader van de ondernemende samenleving,Voorzitter. Ik wil een VAO aanvragen over het rapport van de Algemene Rekenkamer in het kader van de ondernemende samenleving. Het desbetreffende AO is vorige week gehouden.,,impl-ext-third-party,,het rapport van de Algemene Rekenkamer in het kader van de ondernemende samenleving,Voorzitter. Ik wil een VAO aanvragen over het rapport van de Algemene Rekenkamer in het kader van de ondernemende samenleving. Het desbetreffende AO is vorige week gehouden.,
h-tk-20022003-3055-3080,impl-local,,de brief,"Voorzitter. Vorige week dinsdagavond deed minister Nawijn uitlatingen ten overstaan van het Nederlandse volk dat hij bezig was met respectievelijk dacht aan een regeling voor asielzoekers. Hij noemde toen aantallen van tussen de 5000 en 7000 asielzoekers. De dag daarop kwam de minister tijdens het debat hier in de Kamer met een verrassende draai. Hij zei dat hij dacht aan een regeling die mogelijk zo'n 2300 asielzoekers zou betreffen. Voorts deelde hij de Kamer mede dat hij zijn voorstel eerst aan het kabinet zou voorleggen. Daarna zouden wij van het kabinet horen. Welnu, de brief is vanochtend gekomen, nadat wij de mededeling uit het kabinet al hadden vernomen. De inhoud van de brief komt erop neer dat het kabinet vasthoudt aan het Strategisch akkoord, terwijl wij toch te maken hebben met een demissionair kabinet. Het Strategisch akkoord is nog steeds de richtlijn voor deze minister en voor het kabinet. Dat bevreemdt de fractie van de SP in hoge mate.",19637-720,impl-local,,de brief,"Voorzitter. Vorige week dinsdagavond deed minister Nawijn uitlatingen ten overstaan van het Nederlandse volk dat hij bezig was met respectievelijk dacht aan een regeling voor asielzoekers. Hij noemde toen aantallen van tussen de 5000 en 7000 asielzoekers. De dag daarop kwam de minister tijdens het debat hier in de Kamer met een verrassende draai. Hij zei dat hij dacht aan een regeling die mogelijk zo'n 2300 asielzoekers zou betreffen. Voorts deelde hij de Kamer mede dat hij zijn voorstel eerst aan het kabinet zou voorleggen. Daarna zouden wij van het kabinet horen. Welnu, de brief is vanochtend gekomen, nadat wij de mededeling uit het kabinet al hadden vernomen. De inhoud van de brief komt erop neer dat het kabinet vasthoudt aan het Strategisch akkoord, terwijl wij toch te maken hebben met een demissionair kabinet. Het Strategisch akkoord is nog steeds de richtlijn voor deze minister en voor het kabinet. Dat bevreemdt de fractie van de SP in hoge mate.",19637-720
h-tk-20022003-3055-3080,impl-local,,de brief,"Voorzitter. Vorige week dinsdagavond deed minister Nawijn uitlatingen ten overstaan van het Nederlandse volk dat hij bezig was met respectievelijk dacht aan een regeling voor asielzoekers. Hij noemde toen aantallen van tussen de 5000 en 7000 asielzoekers. De dag daarop kwam de minister tijdens het debat hier in de Kamer met een verrassende draai. Hij zei dat hij dacht aan een regeling die mogelijk zo'n 2300 asielzoekers zou betreffen. Voorts deelde hij de Kamer mede dat hij zijn voorstel eerst aan het kabinet zou voorleggen. Daarna zouden wij van het kabinet horen. Welnu, de brief is vanochtend gekomen, nadat wij de mededeling uit het kabinet al hadden vernomen. De inhoud van de brief komt erop neer dat het kabinet vasthoudt aan het Strategisch akkoord, terwijl wij toch te maken hebben met een demissionair kabinet. Het Strategisch akkoord is nog steeds de richtlijn voor deze minister en voor het kabinet. Dat bevreemdt de fractie van de SP in hoge mate.",19637-720,impl-local,,de brief,"Voorzitter. Vorige week dinsdagavond deed minister Nawijn uitlatingen ten overstaan van het Nederlandse volk dat hij bezig was met respectievelijk dacht aan een regeling voor asielzoekers. Hij noemde toen aantallen van tussen de 5000 en 7000 asielzoekers. De dag daarop kwam de minister tijdens het debat hier in de Kamer met een verrassende draai. Hij zei dat hij dacht aan een regeling die mogelijk zo'n 2300 asielzoekers zou betreffen. Voorts deelde hij de Kamer mede dat hij zijn voorstel eerst aan het kabinet zou voorleggen. Daarna zouden wij van het kabinet horen. Welnu, de brief is vanochtend gekomen, nadat wij de mededeling uit het kabinet al hadden vernomen. De inhoud van de brief komt erop neer dat het kabinet vasthoudt aan het Strategisch akkoord, terwijl wij toch te maken hebben met een demissionair kabinet. Het Strategisch akkoord is nog steeds de richtlijn voor deze minister en voor het kabinet. Dat bevreemdt de fractie van de SP in hoge mate.",19637-720
h-tk-20022003-3055-3080,impl-local,,de brief,"Het kabinet zegt in de brief niets te zien in het gebruikmaken van de discretionaire bevoegdheid, dus in het treffen van een aparte beleidsregel, zoals de minister het ook genoemd heeft. Het kabinet houdt het op de eerdere gedragslijn die door de minister is uitgestippeld, namelijk dat hij in specifieke, individuele gevallen, in schrijnende situaties een beslissing zou nemen in afwijking van de eerder getroffen beslissing. Dat stelt de SP-fractie teleur. Wij vinden het optreden van de minister onverantwoord. Doordat de minister in eerste instantie vorige week dinsdagavond buiten de Kamer opmerkingen maakte over een aanstaande regeling, kregen heel veel mensen het idee dat er mogelijk een soort pardon op handen was. Vervolgens scheept hij de Kamer af met de mededeling dat eerst het kabinet erover moet praten, voordat er over de verdere inhoud van de regeling gesproken kan worden. In het kabinet stuit de minister dan op weerstand van het CDA en de VVD, zo moet ik het althans begrijpen.",19637-720,impl-local,,de brief,"Het kabinet zegt in de brief niets te zien in het gebruikmaken van de discretionaire bevoegdheid, dus in het treffen van een aparte beleidsregel, zoals de minister het ook genoemd heeft. Het kabinet houdt het op de eerdere gedragslijn die door de minister is uitgestippeld, namelijk dat hij in specifieke, individuele gevallen, in schrijnende situaties een beslissing zou nemen in afwijking van de eerder getroffen beslissing. Dat stelt de SP-fractie teleur. Wij vinden het optreden van de minister onverantwoord. Doordat de minister in eerste instantie vorige week dinsdagavond buiten de Kamer opmerkingen maakte over een aanstaande regeling, kregen heel veel mensen het idee dat er mogelijk een soort pardon op handen was. Vervolgens scheept hij de Kamer af met de mededeling dat eerst het kabinet erover moet praten, voordat er over de verdere inhoud van de regeling gesproken kan worden. In het kabinet stuit de minister dan op weerstand van het CDA en de VVD, zo moet ik het althans begrijpen.",19637-720
h-tk-20022003-3055-3080,impl-local,,dit onderzoek,"De Nederlandse samenleving schreeuwt om een maatregel voor asielzoekers. Mijn fractie is overstelpt met brieven van Nederlandse gemeentebesturen die een eenmalige maatregel bepleiten. Vluchtelingenwerk Nederland heeft het NIPO laten onderzoeken wat Nederland hiervan vindt. Uit dit onderzoek blijkt dat 66% van de ondervraagden wil dat mensen die zijn gevlucht voor oorlog of de schending van mensenrechten en die langer dan vijf jaar in Nederland verblijven, in Nederland moeten kunnen blijven.",,impl-local,,dit onderzoek,"De Nederlandse samenleving schreeuwt om een maatregel voor asielzoekers. Mijn fractie is overstelpt met brieven van Nederlandse gemeentebesturen die een eenmalige maatregel bepleiten. Vluchtelingenwerk Nederland heeft het NIPO laten onderzoeken wat Nederland hiervan vindt. Uit dit onderzoek blijkt dat 66% van de ondervraagden wil dat mensen die zijn gevlucht voor oorlog of de schending van mensenrechten en die langer dan vijf jaar in Nederland verblijven, in Nederland moeten kunnen blijven.",
h-tk-20022003-3055-3080,impl-ext-parl-doc,Motie,de motie-Halsema/Hoekema,"Ik herhaal niet hoe wij in de huidige omstandigheden gekomen zijn. Wat de Kamer hier bespreekt is wellicht interessant, maar het belangrijkste is dat er straks een Kamermeerderheid is voor een motie, die voor de duizenden mensen duidelijkheid geeft. Mijn fractie heeft al in april vorig jaar via de motie-Halsema/Hoekema aangegeven wat wij willen, namelijk een verblijfsvergunning voor mensen die vijf jaar of langer in Nederland zijn, die goed zijn ingeburgerd en die geen strafblad hebben. Helaas was er geen meerderheid voor die motie, maar het lijkt erop dat die er nu wel komt. Wij zijn bereid samen met de fractie van GroenLinks dezelfde motie wat te verduidelijken, in de hoop dat ook de LPF-fractie ermee akkoord kan gaan. Wij hebben gehoord wat zij hierover heeft gezegd. Het doel is de inhumanitaire excessen van dit kabinet recht te breien, waar de minister in het kabinet bakzeil moest halen. Als het ons lukt door een meerderheid voor de motie, dan is alles toch nog de moeite waard geweest.",19637-657,impl-ext-parl-doc,Motie,de motie-Halsema/Hoekema,"Ik herhaal niet hoe wij in de huidige omstandigheden gekomen zijn. Wat de Kamer hier bespreekt is wellicht interessant, maar het belangrijkste is dat er straks een Kamermeerderheid is voor een motie, die voor de duizenden mensen duidelijkheid geeft. Mijn fractie heeft al in april vorig jaar via de motie-Halsema/Hoekema aangegeven wat wij willen, namelijk een verblijfsvergunning voor mensen die vijf jaar of langer in Nederland zijn, die goed zijn ingeburgerd en die geen strafblad hebben. Helaas was er geen meerderheid voor die motie, maar het lijkt erop dat die er nu wel komt. Wij zijn bereid samen met de fractie van GroenLinks dezelfde motie wat te verduidelijken, in de hoop dat ook de LPF-fractie ermee akkoord kan gaan. Wij hebben gehoord wat zij hierover heeft gezegd. Het doel is de inhumanitaire excessen van dit kabinet recht te breien, waar de minister in het kabinet bakzeil moest halen. Als het ons lukt door een meerderheid voor de motie, dan is alles toch nog de moeite waard geweest.",19637-657
h-tk-20022003-3055-3080,impl-local,,die motie,"Ik herhaal niet hoe wij in de huidige omstandigheden gekomen zijn. Wat de Kamer hier bespreekt is wellicht interessant, maar het belangrijkste is dat er straks een Kamermeerderheid is voor een motie, die voor de duizenden mensen duidelijkheid geeft. Mijn fractie heeft al in april vorig jaar via de motie-Halsema/Hoekema aangegeven wat wij willen, namelijk een verblijfsvergunning voor mensen die vijf jaar of langer in Nederland zijn, die goed zijn ingeburgerd en die geen strafblad hebben. Helaas was er geen meerderheid voor die motie, maar het lijkt erop dat die er nu wel komt. Wij zijn bereid samen met de fractie van GroenLinks dezelfde motie wat te verduidelijken, in de hoop dat ook de LPF-fractie ermee akkoord kan gaan. Wij hebben gehoord wat zij hierover heeft gezegd. Het doel is de inhumanitaire excessen van dit kabinet recht te breien, waar de minister in het kabinet bakzeil moest halen. Als het ons lukt door een meerderheid voor de motie, dan is alles toch nog de moeite waard geweest.",19637-657,impl-local,,die motie,"Ik herhaal niet hoe wij in de huidige omstandigheden gekomen zijn. Wat de Kamer hier bespreekt is wellicht interessant, maar het belangrijkste is dat er straks een Kamermeerderheid is voor een motie, die voor de duizenden mensen duidelijkheid geeft. Mijn fractie heeft al in april vorig jaar via de motie-Halsema/Hoekema aangegeven wat wij willen, namelijk een verblijfsvergunning voor mensen die vijf jaar of langer in Nederland zijn, die goed zijn ingeburgerd en die geen strafblad hebben. Helaas was er geen meerderheid voor die motie, maar het lijkt erop dat die er nu wel komt. Wij zijn bereid samen met de fractie van GroenLinks dezelfde motie wat te verduidelijken, in de hoop dat ook de LPF-fractie ermee akkoord kan gaan. Wij hebben gehoord wat zij hierover heeft gezegd. Het doel is de inhumanitaire excessen van dit kabinet recht te breien, waar de minister in het kabinet bakzeil moest halen. Als het ons lukt door een meerderheid voor de motie, dan is alles toch nog de moeite waard geweest.",19637-657
h-tk-20022003-3055-3080,impl-ext-dossier,,de oude Vreemdelingenwet,Voor zover ik weet kwamen deze mensen niet in aanmerking voor de driejarenregeling omdat deze alleen gold voor asielzoekers die ten tijde van de oude Vreemdelingenwet drie jaar in de procedure zaten.,26732,impl-ext-parl-doc,Overig,de oude Vreemdelingenwet,Voor zover ik weet kwamen deze mensen niet in aanmerking voor de driejarenregeling omdat deze alleen gold voor asielzoekers die ten tijde van de oude Vreemdelingenwet drie jaar in de procedure zaten.,tba
h-tk-20022003-3055-3080,impl-local,,De brief,"Ik luister met enige verbazing naar de woorden ""welwillende minister"". De brief is toch van de minister?",19637-720,impl-local,,De brief,"Ik luister met enige verbazing naar de woorden ""welwillende minister"". De brief is toch van de minister?",19637-720
h-tk-20022003-3055-3080,impl-local,,de brief,Bent u het wel of niet eens met de brief van uw minister?,19637-720,impl-local,,de brief,Bent u het wel of niet eens met de brief van uw minister?,19637-720
h-tk-20022003-3055-3080,impl-ext-third-party,,de brief,U kunt de regeling op uw manier omschrijven. Ik noemde al de brief die u waarschijnlijk ook hebt ontvangen van het Comité witte illegalen. Het noemen van een regeling leidt bij andere groepen die menen daaraan te voldoen tot de conclusie dat er ruimte is voor een generaal pardon zodat men ook een beroep op die regeling zal doen. Dat betekent valse hoop voor een nog grotere groep.,,impl-local,,de brief,U kunt de regeling op uw manier omschrijven. Ik noemde al de brief die u waarschijnlijk ook hebt ontvangen van het Comité witte illegalen. Het noemen van een regeling leidt bij andere groepen die menen daaraan te voldoen tot de conclusie dat er ruimte is voor een generaal pardon zodat men ook een beroep op die regeling zal doen. Dat betekent valse hoop voor een nog grotere groep.,
h-tk-20022003-3055-3080,impl-ext-third-party,,een brief,"Was het maar zo dat wanneer wij hier een debat voeren over een specifiek afgebakende groep, dat geen enkele uitwerking heeft buiten die groep. Ik gaf al aan dat wij een brief hebben gekregen van de groep waar wij het niet over hebben, namelijk de witte illegalen, die op grond van het debat dat wij hier voeren, zeggen: wij willen ook graag een regeling.",,impl-local,,een brief,"Was het maar zo dat wanneer wij hier een debat voeren over een specifiek afgebakende groep, dat geen enkele uitwerking heeft buiten die groep. Ik gaf al aan dat wij een brief hebben gekregen van de groep waar wij het niet over hebben, namelijk de witte illegalen, die op grond van het debat dat wij hier voeren, zeggen: wij willen ook graag een regeling.",
h-tk-20022003-3055-3080,impl-ext-third-party,,de brief,"Als uw redenatie waar zou zijn, kan het niet zo zijn dat ik de brief ontvangen heb die ik heb ontvangen van de witte illegalen.",,impl-local,,de brief,"Als uw redenatie waar zou zijn, kan het niet zo zijn dat ik de brief ontvangen heb die ik heb ontvangen van de witte illegalen.",
h-tk-20022003-3055-3080,impl-ext-third-party,,een brief,"Ik doe de feitelijke constatering dat ik een brief ontvangen heb – u waarschijnlijk ook – en dat de verwarring is ontstaan, maar dat is niet door de uitspraken die de VVD heeft gedaan, want wij zijn de discussie over een generaal pardon niet begonnen. Ik vind uw opmerking echter wel terecht. Uitspraken over een pardonregeling moeten niet zomaar gedaan worden – dat geldt dan ook voor uw partij – omdat zij dit soort van gevolgen hebben.",,impl-local,,een brief,"Ik doe de feitelijke constatering dat ik een brief ontvangen heb – u waarschijnlijk ook – en dat de verwarring is ontstaan, maar dat is niet door de uitspraken die de VVD heeft gedaan, want wij zijn de discussie over een generaal pardon niet begonnen. Ik vind uw opmerking echter wel terecht. Uitspraken over een pardonregeling moeten niet zomaar gedaan worden – dat geldt dan ook voor uw partij – omdat zij dit soort van gevolgen hebben.",
